tmdbId,vote_average,vote_count,popularity
32093,7.062,219,4.6685
1939,7.626,866,2.0883
22292,7.522,336,1.499
3598,6.979,235,2.5945
3080,7.244,316,1.2863
198,7.822,786,3.1474
13562,7.543,372,0.8313
1712,7.613,726,3.8952
220,7.5,783,3.3192
3529,7.487,503,0.8626
3085,7.401,889,1.9536
2897,6.6,543,3.959
1585,8.274,4649,7.5021
3083,7.845,1133,3.7163
900,7.526,1031,1.4622
43795,6.556,117,3.4267
43905,6.485,136,3.0107
23114,6.7,57,3.9136
40206,6.5,55,4.2365
260,7.337,1009,1.1307
10331,7.611,2622,4.7354
488,7.352,1010,4.315
22733,6.1,158,0.7333
261,7.645,799,1.824
32574,7.3,271,0.9446
22649,6.112,152,2.31
125587,4.3,11,3.6988
52855,4.259,29,3.5313
39940,6.3,105,3.3452
85328,3.583,6,1.7911
11076,6.937,489,2.3652
63945,5.422,64,3.456
58985,6.025,60,3.0498
10861,5.799,537,3.9835
1770,6.9,500,1.471
2033,6.2,17,2.0933
18203,6.947,254,1.0049
9333,6.357,935,2.4438
9400,7.2,380,3.5533
9401,6.162,293,3.5711
11306,5.976,338,5.5022
9625,5.4,415,4.3137
10680,5.951,471,4.1434
6346,5.985,262,7.5155
18660,6.578,129,1.7427
35115,6.4,114,4.8233
14821,6.391,224,1.3656
14136,6.6,626,1.7259
10869,6.1,425,1.35
22660,6.909,286,1.4687
19186,7.013,410,4.144
31102,6.936,203,3.7008
6878,6.975,1083,4.9099
15944,6.1,93,2.2494
18444,6.9,339,2.4312
20723,6.6,183,3.0424
173,7.045,946,4.2896
864,7.009,2170,4.7979
24795,5.997,466,4.2135
11224,7.045,6968,9.9695
81310,7.3,106,1.0966
15947,6.3,743,4.5119
9078,7.2,3994,6.4229
8367,6.859,3433,7.7626
433,7.555,4868,6.9086
11360,6.989,5166,6.8427
11114,6.3,710,3.3664
12335,7.024,1002,5.1306
12092,7.188,6109,8.8907
10948,7.137,3379,4.4711
11229,6.447,407,4.1092
15121,7.724,3484,7.5122
562,7.8,11789,11.2601
10163,5.634,800,2.7536
47199,5.5,42,2.7769
11159,7.6,693,3.1626
9591,6.888,890,3.347
30500,5.436,53,4.5334
10938,7.2,328,0.5959
11412,6.589,1269,2.5751
10586,6.827,1099,3.1487
42314,6.784,141,4.2414
27845,6.861,201,2.7365
23223,5.891,46,4.5619
49471,6.3,73,4.181
38153,4.99,99,6.451
25147,6.3,136,3.1556
9716,6.431,694,1.4228
454,6.8,5194,5.2184
10218,6.865,776,3.8894
819,7.601,3716,5.2702
11238,6.2,1919,9.217
31530,7.246,118,2.6721
28120,6.64,150,2.8879
252,7.482,3802,9.8666
16372,7.465,637,1.0854
11561,6.9,814,3.8371
11302,6.682,785,3.2391
623,7.2,2326,4.0224
583,7.757,4713,4.4121
12614,7.3,434,5.5623
21711,6.5,178,4.0804
11575,7.1,351,3.2154
475,7.5,1724,3.4718
11331,6.5,155,4.2264
521,8.007,2752,2.0112
88,7.3,6355,14.8335
500,8.118,14964,8.9235
792,7.746,4867,13.1703
8491,6.394,1084,3.6384
402,6.927,4189,6.8684
10537,7.105,1532,5.1311
11386,6.838,810,3.931
9504,7.325,1521,4.1068
15764,7.327,901,3.851
601,7.511,11650,13.4942
25842,7.0,146,1.5486
2119,6.358,1608,4.6486
744,7.061,9191,9.4088
221,7.512,1707,2.3679
702,7.619,1429,2.5509
25750,4.413,167,2.1207
9305,7.568,243,1.9118
37616,5.75,40,3.3131
21612,6.745,191,5.3444
102461,5.934,53,2.9812
36998,7.4,299,2.0141
116844,2.875,8,3.8406
1630,6.965,1183,3.9136
26626,5.12,50,8.336
124837,5.6,7,1.3306
11816,7.25,492,1.8173
11843,6.8,646,4.9184
10379,5.8,383,2.0884
2756,7.345,3252,8.0814
790,6.726,1668,4.6152
1103,7.055,3372,5.7389
11298,6.6,845,1.5641
4480,7.697,594,2.375
4481,7.579,547,2.0645
10765,6.0,400,2.1891
762,7.805,6153,5.0373
44497,5.176,37,7.7171
99479,4.8,6,0.5501
124829,7.0,5,2.0411
10548,7.6,240,2.3263
531,7.804,1100,2.1198
4483,6.737,215,2.2669
18919,7.451,72,10.0307
61461,7.6,86,2.6252
659,6.927,509,5.0349
30892,6.383,90,0.4615
86369,6.3,19,1.1294
38554,5.5,61,2.2836
36555,5.5,78,1.339
10608,6.497,169,2.4908
11216,8.43,4654,4.6951
7452,7.312,673,6.6024
892,7.3,1564,4.8912
1600,7.479,856,1.7154
26561,6.8,72,7.636
975,8.26,3130,5.2833
18129,6.498,450,1.0673
54405,5.8,31,2.3268
409,7.157,2302,6.5143
38251,7.624,1033,2.11
10161,7.523,980,6.3728
1412,6.941,993,3.0182
41768,6.9,55,3.2732
10409,6.582,366,3.0817
14285,7.6,397,4.288
2469,6.871,655,1.4266
10174,6.2,159,2.0142
31225,8.0,519,2.8982
510,8.413,11049,11.5912
11455,6.644,608,2.1357
1891,8.394,17839,6.5819
2493,7.688,4877,11.089
85,7.922,13192,9.5719
68,7.7,3544,6.3516
679,7.955,10433,9.0982
429,8.463,9260,10.3715
13446,7.25,596,6.8461
389,8.549,9537,9.6921
947,8.0,3261,7.8266
185,8.181,13457,6.7936
595,8.0,2755,7.2463
28,8.271,8737,7.2621
335,8.28,4681,6.9489
1892,7.904,16449,6.7802
144,7.8,1437,2.3161
1092,7.914,2010,3.1139
769,8.453,13788,13.2221
348,8.166,15754,13.6551
766,7.258,3379,3.9275
175,7.447,1517,2.6996
11645,8.044,1705,4.6754
10835,7.6,850,2.6944
539,8.421,10628,7.6576
525,7.721,4418,3.8111
240,8.571,13345,14.7329
600,8.124,11079,7.2322
530,7.484,955,4.2209
10705,7.2,396,3.5131
279,8.026,4538,4.3287
3109,7.323,574,2.9081
311,8.397,5792,6.3975
1578,7.92,4573,3.6702
703,7.737,4098,3.2561
9549,7.424,919,2.0933
1398,8.113,2385,4.6767
387,8.087,2378,3.0726
9277,8.02,2807,4.2179
343,7.598,1156,1.7482
37291,6.8,155,1.7671
490,8.163,3212,5.8869
11235,6.768,377,1.1571
218,7.673,13989,11.7391
763,7.385,1768,4.6769
9665,7.473,1729,6.9027
18971,6.9,309,6.8099
696,7.718,2529,1.4074
379,7.45,1769,2.4802
207,8.301,12051,8.9772
37247,7.6,3550,5.7035
1480,7.76,1532,4.0716
9322,7.093,2070,3.2435
826,7.821,2256,6.2433
422,8.122,2440,3.5436
829,7.916,4083,4.7243
828,7.455,1184,2.1459
3090,8.0,1277,1.7633
9964,6.315,880,2.4466
3063,7.31,825,4.9549
13667,6.6,531,3.7035
694,8.206,18345,11.4209
235,7.85,6230,5.0884
832,8.069,2353,3.419
765,7.549,3343,8.8469
5925,7.9,2713,3.4894
11778,7.983,4068,3.9174
4485,6.7,256,5.0808
137,7.618,8503,8.3927
33,7.908,4730,5.2541
982,7.519,763,2.3858
8428,7.065,385,2.6208
212,7.64,993,2.4991
105,8.3,21075,14.5523
1633,7.682,1414,2.8762
11202,7.487,1167,2.8345
1554,7.336,803,1.4425
149,7.9,4561,8.4739
8009,6.868,2785,6.4159
903,7.743,1534,2.7932
11673,7.323,797,1.9964
3034,7.862,3284,3.8884
339,7.512,991,3.6323
10404,7.933,766,2.5597
914,8.287,3563,2.9086
756,7.3,3216,3.9332
288,7.7,1517,6.8189
910,7.602,1106,4.3398
2640,7.272,1815,2.934
16633,7.529,628,2.7183
665,7.888,2979,9.4314
